date,weekday,selection,rank,market,relative_best_hall,predicted_mean,adjusted_edge,utility_edge,travel_minutes,travel_penalty,confidence,reason,risk_flags,shibuya_pick,shibuya_rank,toyoko_pick,toyoko_rank,mizonokuchi_pick,mizonokuchi_rank,fukutoshin_pick,fukutoshin_rank,ikegami_pick,ikegami_rank,kamata_pick,kamata_rank,keikyu_pick,keikyu_rank,ooimachi_pick,ooimachi_rank,yokohama_pick,yokohama_rank,tsurumi_pick,tsurumi_rank,kawasaki_pick,kawasaki_rank,center_minami_pick,center_minami_rank,kashimada_pick,kashimada_rank
2026-09-09,水,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,185.2,135.2,127.2,18,8.0,0.3862,ゾロ目,[],エスパス日拓渋谷駅前新館,A,見送り,C,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-10,木,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.8241,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,鶴見UNO,B,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-11,金,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,184.8,134.8,122.8,22,12.0,0.5362,11日,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000 蒲田1,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ジアスセンター南,B,見送り,NO BET
2026-09-12,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.5933,土曜,[],見送り,NO BET,見送り,NO BET,エスパス日拓溝の口駅前新館,B,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-13,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.5485,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-14,月,みとや大森町店,A,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.621,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-15,火,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.8071,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-16,水,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,123.1,73.1,45.1,38,28.0,0.7161,6のつく日・補助,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-17,木,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.6133,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-18,金,ベルシティザシティ川崎店,B,川崎,ベルシティザシティ川崎店,77.0,77.0,49.0,38,28.0,0.3338,平日の8のつく日・直近上昇レジーム,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ベルシティザシティ川崎店,B,見送り,NO BET,見送り,NO BET
2026-09-19,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.5762,土曜,[],見送り,NO BET,レッドロック学芸大学駅前店,A,見送り,NO BET,見送り,NO BET,見送り,C,マルハンメガシティ2000蒲田7,A,見送り,NO BET,BIGディッパー大井町店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-20,日,エスパス日拓渋谷駅前新館,A,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.5328,本館閉店後の日曜,"[""シルバーウィーク""]",エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-21,月,マルハン池袋 SLOT BASE,A,副都心線北上,マルハン池袋 SLOT BASE,431.4,381.4,353.4,38,28.0,0.4538,21日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-22,火,マルハン池袋 SLOT BASE,A,副都心線北上,マルハン池袋 SLOT BASE,189.1,139.1,111.1,38,28.0,0.4519,22日,[],見送り,C,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-23,水,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.7807,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,C,見送り,C,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-24,木,みとや大森町店,A,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.5957,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-25,金,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.7742,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-26,土,マルハン池袋 SLOT BASE,A,副都心線北上,マルハン池袋 SLOT BASE,213.7,163.7,135.7,38,28.0,0.4197,26日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-27,日,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.5883,7のつく日,[],エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,南武線尻手駅前店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-28,月,楽園渋谷道玄坂店,A,渋谷,楽園渋谷道玄坂店,232.5,182.5,169.5,23,13.0,0.3946,28日,[],楽園渋谷道玄坂店,A,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ベルシティザシティ川崎店,B,見送り,NO BET,見送り,NO BET
2026-09-29,火,BIGディッパー戸越銀座店,B,池上線,BIGディッパー戸越銀座店,92.9,42.9,34.9,18,8.0,0.6003,9のつく日（絶対水準B）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-30,水,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,271.0,221.0,213.0,18,8.0,0.4371,30日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-01,木,BIGディッパー戸越銀座店,A,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.5362,1日・20日（絶対水準）,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,BIGディッパー戸越銀座店,A,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-02,金,アサヒ2鹿島田店,B,鹿島田,アサヒ2鹿島田店,136.6,136.6,112.6,34,24.0,0.3457,毎月2日・現行運用パッケージ,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,アサヒ2鹿島田店,B
2026-10-03,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.5436,土曜,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-04,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.5026,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-05,月,エスパス日拓渋谷駅前新館,A,渋谷,エスパス日拓渋谷駅前新館,213.2,163.2,151.2,22,12.0,0.4851,5日,[],エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-06,火,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,123.1,73.1,45.1,38,28.0,0.6588,6のつく日・補助,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-07,水,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.5643,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-08,木,ベルシティザシティ川崎店,B,川崎,ベルシティザシティ川崎店,77.0,77.0,49.0,38,28.0,0.3071,平日の8のつく日・直近上昇レジーム,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ベルシティザシティ川崎店,B,見送り,NO BET,見送り,NO BET
2026-10-09,金,BIGディッパー戸越銀座店,B,池上線,BIGディッパー戸越銀座店,92.9,42.9,34.9,18,8.0,0.5758,9のつく日（絶対水準B）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-10,土,エスパス日拓渋谷駅前新館,A,渋谷,エスパス日拓渋谷駅前新館,179.6,129.6,117.6,22,12.0,0.4584,月日ゾロ目,[],エスパス日拓渋谷駅前新館,A,見送り,C,エスパス日拓溝の口駅前新館,B,マルハン新宿東宝ビル店,B,見送り,NO BET,マルハンメガシティ2000 蒲田1,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,鶴見UNO,B,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-11,日,エスパス日拓渋谷駅前新館,A,渋谷,エスパス日拓渋谷駅前新館,184.8,134.8,122.8,22,12.0,0.4732,11日,[],エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000 蒲田1,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ジアスセンター南,B,見送り,NO BET
2026-10-12,月,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.7212,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-13,火,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.7182,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-14,水,みとや大森町店,B,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.548,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,みとや大森町店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-15,木,見送り,C,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.7123,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-16,金,マルハン新宿東宝ビル店,B,副都心線北上,マルハン新宿東宝ビル店,123.1,73.1,45.1,38,28.0,0.6319,6のつく日・補助,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,B,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-17,土,YASUDA7（東池袋7号店）,A,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.5412,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,A,見送り,C,マルハンメガシティ2000蒲田7,B,みとや大森町店,B,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-18,日,エスパス日拓渋谷駅前新館,B,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.4741,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-19,月,見送り,C,池上線,BIGディッパー戸越銀座店,92.9,42.9,34.9,18,8.0,0.5523,9のつく日（絶対水準B）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-20,火,BIGディッパー戸越銀座店,B,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.4954,1日・20日（絶対水準）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-21,水,マルハン池袋 SLOT BASE,B,副都心線北上,マルハン池袋 SLOT BASE,431.4,381.4,353.4,38,28.0,0.4004,21日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,B,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-22,木,マルハン池袋 SLOT BASE,B,副都心線北上,マルハン池袋 SLOT BASE,189.1,139.1,111.1,38,28.0,0.3988,22日,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,B,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-23,金,マルハン新宿東宝ビル店,B,副都心線北上,マルハン新宿東宝ビル店,158.5,108.5,80.5,38,28.0,0.4501,23日・やばたにえん,[],見送り,NO BET,見送り,NO BET,エスパス日拓溝の口駅前新館,B,マルハン新宿東宝ビル店,B,見送り,C,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-24,土,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.498,土曜,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-25,日,エスパス日拓渋谷駅前新館,B,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.4605,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-26,月,マルハン池袋 SLOT BASE,B,副都心線北上,マルハン池袋 SLOT BASE,213.7,163.7,135.7,38,28.0,0.3704,26日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,B,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-27,火,YASUDA7（東池袋7号店）,A,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.5191,7のつく日,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,A,見送り,C,マルハンメガシティ2000蒲田7,B,みとや大森町店,B,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-28,水,マルハン池袋 SLOT BASE,B,副都心線北上,マルハン池袋 SLOT BASE,225.1,175.1,147.1,38,28.0,0.3889,28日,[],見送り,C,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,B,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET
2026-10-29,木,見送り,C,池上線,BIGディッパー戸越銀座店,92.9,42.9,34.9,18,8.0,0.5298,9のつく日（絶対水準B）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-30,金,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,271.0,221.0,213.0,18,8.0,0.3857,30日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-10-31,土,見送り,NO BET,副都心線北上,マルハン新宿東宝ビル店,239.1,189.1,161.1,38,28.0,0.3386,31日・隠れ看板,"[""土曜""]",見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-01,日,BIGディッパー戸越銀座店,B,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.4712,1日・20日（絶対水準）,[],見送り,C,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,B,BIGディッパー戸越銀座店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-02,月,見送り,C,鹿島田,アサヒ2鹿島田店,136.6,136.6,112.6,34,24.0,0.3039,毎月2日・現行運用パッケージ,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C
2026-11-03,火,見送り,C,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.6581,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-04,水,みとや大森町店,B,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.5021,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,みとや大森町店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-05,木,エスパス日拓渋谷駅前新館,B,渋谷,エスパス日拓渋谷駅前新館,213.2,163.2,151.2,22,12.0,0.4264,5日,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-06,金,マルハン新宿東宝ビル店,B,副都心線北上,マルハン新宿東宝ビル店,123.1,73.1,45.1,38,28.0,0.579,6のつく日・補助,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,B,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-07,土,YASUDA7（東池袋7号店）,B,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.4959,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,B,見送り,C,マルハンメガシティ2000蒲田7,B,みとや大森町店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-08,日,エスパス日拓渋谷駅前新館,B,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.4344,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-09,月,見送り,C,池上線,BIGディッパー戸越銀座店,92.9,42.9,34.9,18,8.0,0.506,9のつく日（絶対水準B）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-10,火,見送り,C,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.6391,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-11-11,水,エスパス日拓渋谷駅前新館,B,渋谷,エスパス日拓渋谷駅前新館,179.6,129.6,117.6,22,12.0,0.4012,月日ゾロ目,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,B,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET
2026-11-12,木,見送り,C,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.6338,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
