hall_id,result_date,avg_diff,total_diff,avg_games,machine_win_rate,winning_units,total_units,source_name
ikebukuro_yasuda7,2026-03-30,40,,1932,,,255,slorepo
ikebukuro_yasuda7,2026-03-31,122,,3219,,,255,slorepo
ikebukuro_yasuda7,2026-04-01,329,,2913,,,255,slorepo
ikebukuro_yasuda7,2026-04-02,-149,,1730,,,255,slorepo
ikebukuro_yasuda7,2026-04-03,-132,,1586,,,255,slorepo
ikebukuro_yasuda7,2026-04-04,174,,4617,,,255,slorepo
ikebukuro_yasuda7,2026-04-05,-18,,3275,,,255,slorepo
ikebukuro_yasuda7,2026-04-06,-84,,2321,,,255,slorepo
ikebukuro_yasuda7,2026-04-07,704,,4110,,,255,slorepo
ikebukuro_yasuda7,2026-04-08,17,,1879,,,255,slorepo
ikebukuro_yasuda7,2026-04-09,197,,2388,,,255,slorepo
ikebukuro_yasuda7,2026-04-10,-57,,1798,,,255,slorepo
ikebukuro_yasuda7,2026-04-11,-13,,3554,,,255,slorepo
ikebukuro_yasuda7,2026-04-12,-75,,2753,,,255,slorepo
ikebukuro_yasuda7,2026-04-13,22,,1897,,,255,slorepo
ikebukuro_yasuda7,2026-04-14,-57,,1501,,,255,slorepo
ikebukuro_yasuda7,2026-04-15,103,,2638,,,255,slorepo
ikebukuro_yasuda7,2026-04-16,129,,1780,,,255,slorepo
ikebukuro_yasuda7,2026-04-17,-59,,4096,,,255,slorepo
ikebukuro_yasuda7,2026-04-18,-269,,2813,,,255,slorepo
ikebukuro_yasuda7,2026-04-19,47,,3095,,,255,slorepo
ikebukuro_yasuda7,2026-04-20,20,,1590,,,255,slorepo
ikebukuro_yasuda7,2026-04-21,-63,,1997,,,255,slorepo
ikebukuro_yasuda7,2026-04-22,138,,1965,,,255,slorepo
ikebukuro_yasuda7,2026-04-23,-2,,2524,,,255,slorepo
ikebukuro_yasuda7,2026-04-24,-154,,1937,,,255,slorepo
ikebukuro_yasuda7,2026-04-25,-248,,3132,,,255,slorepo
ikebukuro_yasuda7,2026-04-26,-63,,4620,,,255,slorepo
ikebukuro_yasuda7,2026-04-27,337,,3634,,,255,slorepo
ikebukuro_yasuda7,2026-04-28,72,,2030,,,255,slorepo
ikebukuro_yasuda7,2026-04-29,262,,3647,,,255,slorepo
ikebukuro_yasuda7,2026-04-30,-150,,1964,,,255,slorepo
ikebukuro_yasuda7,2026-05-01,-42,,3580,,,255,slorepo
ikebukuro_yasuda7,2026-05-02,-232,,2497,,,255,slorepo
ikebukuro_yasuda7,2026-05-03,-180,,2377,,,255,slorepo
ikebukuro_yasuda7,2026-05-04,-41,,2739,,,255,slorepo
ikebukuro_yasuda7,2026-05-05,-28,,4724,,,255,slorepo
ikebukuro_yasuda7,2026-05-06,-98,,2532,,,255,slorepo
ikebukuro_yasuda7,2026-05-07,338,,4040,,,255,slorepo
ikebukuro_yasuda7,2026-05-08,128,,1497,,,255,slorepo
ikebukuro_yasuda7,2026-05-09,120,,3140,,,255,slorepo
ikebukuro_yasuda7,2026-05-10,-228,,2681,,,255,slorepo
ikebukuro_yasuda7,2026-05-11,104,,2013,,,255,slorepo
ikebukuro_yasuda7,2026-05-12,-29,,1620,,,255,slorepo
ikebukuro_yasuda7,2026-05-13,17,,1392,,,255,slorepo
ikebukuro_yasuda7,2026-05-14,-191,,1291,,,255,slorepo
ikebukuro_yasuda7,2026-05-15,-242,,1843,,,255,slorepo
ikebukuro_yasuda7,2026-05-16,-129,,3115,,,255,slorepo
ikebukuro_yasuda7,2026-05-17,350,,4445,,,255,slorepo
ikebukuro_yasuda7,2026-05-18,201,,1585,,,255,slorepo
ikebukuro_yasuda7,2026-05-19,-61,,1430,,,255,slorepo
ikebukuro_yasuda7,2026-05-20,-251,,1412,,,255,slorepo
ikebukuro_yasuda7,2026-05-21,-19,,1596,,,255,slorepo
ikebukuro_yasuda7,2026-05-22,19,,1959,,,255,slorepo
ikebukuro_yasuda7,2026-05-23,-46,,2682,,,255,slorepo
ikebukuro_yasuda7,2026-05-24,-331,,2694,,,255,slorepo
ikebukuro_yasuda7,2026-05-25,124,,1685,,,255,slorepo
ikebukuro_yasuda7,2026-05-26,-8,,1620,,,255,slorepo
ikebukuro_yasuda7,2026-05-27,250,,3567,,,255,slorepo
ikebukuro_yasuda7,2026-05-28,-86,,1603,,,255,slorepo
ikebukuro_yasuda7,2026-05-29,180,,1646,,,255,slorepo
ikebukuro_yasuda7,2026-05-30,-191,,2360,,,255,slorepo
ikebukuro_yasuda7,2026-05-31,-63,,2814,,,255,slorepo
ikebukuro_yasuda7,2026-06-01,37,,2064,,,255,slorepo
ikebukuro_yasuda7,2026-06-02,30,,1253,,,255,slorepo
ikebukuro_yasuda7,2026-06-03,-233,,1106,,,255,slorepo
ikebukuro_yasuda7,2026-06-04,-78,,1363,,,255,slorepo
ikebukuro_yasuda7,2026-06-05,-90,,1371,,,255,slorepo
ikebukuro_yasuda7,2026-06-06,-182,,4746,,,255,slorepo
ikebukuro_yasuda7,2026-06-07,-127,,4234,,,255,slorepo
ikebukuro_yasuda7,2026-06-08,-170,,2040,,,255,slorepo
ikebukuro_yasuda7,2026-06-09,-115,,2180,,,255,slorepo
ikebukuro_yasuda7,2026-06-10,-64,,1824,,,255,slorepo
ikebukuro_yasuda7,2026-06-11,-27,,1763,,,255,slorepo
ikebukuro_yasuda7,2026-06-12,-212,,1823,,,255,slorepo
ikebukuro_yasuda7,2026-06-13,-240,,2989,,,255,slorepo
ikebukuro_yasuda7,2026-06-14,-39,,2407,,,255,slorepo
ikebukuro_yasuda7,2026-06-15,-65,,2043,,,255,slorepo
ikebukuro_yasuda7,2026-06-16,-58,,1777,,,255,slorepo
ikebukuro_yasuda7,2026-06-17,548,,3866,,,255,slorepo
ikebukuro_yasuda7,2026-06-18,-71,,1599,,,255,slorepo
ikebukuro_yasuda7,2026-06-19,-251,,1751,,,255,slorepo
ikebukuro_yasuda7,2026-06-20,90,,2568,,,255,slorepo
ikebukuro_yasuda7,2026-06-21,269,,3494,,,255,slorepo
ikebukuro_yasuda7,2026-06-22,-9,,1926,,,255,slorepo
ikebukuro_yasuda7,2026-06-23,86,,1552,,,255,slorepo
ikebukuro_yasuda7,2026-06-24,-157,,1766,,,255,slorepo
ikebukuro_yasuda7,2026-06-25,50,,1845,,,255,slorepo
ikebukuro_yasuda7,2026-06-26,-40,,1988,,,255,slorepo
ikebukuro_yasuda7,2026-06-27,103,,4635,,,255,slorepo
ikebukuro_yasuda7,2026-06-28,-226,,2725,,,255,slorepo
ikebukuro_yasuda7,2026-06-29,228,,1739,,,255,slorepo
ikebukuro_yasuda7,2026-06-30,26,,1556,,,255,slorepo
ikebukuro_yasuda7,2026-07-01,47,,2292,,,255,slorepo
ikebukuro_yasuda7,2026-07-02,-71,,1665,,,255,slorepo
ikebukuro_yasuda7,2026-07-03,-87,,423,,,255,slorepo
ikebukuro_yasuda7,2026-07-04,-307,,2738,,,255,slorepo
ikebukuro_yasuda7,2026-07-05,-282,,2654,,,255,slorepo
ikebukuro_yasuda7,2026-07-06,-174,,2048,,,255,slorepo
ikebukuro_yasuda7,2026-07-07,219,,5255,,,255,slorepo
ikebukuro_yasuda7,2026-07-08,-87,,1543,,,255,slorepo
ikebukuro_yasuda7,2026-07-09,28,,1898,,,255,slorepo
ikebukuro_yasuda7,2026-07-10,19,,1895,,,255,slorepo
ikebukuro_yasuda7,2026-07-11,81,,3811,,,255,slorepo
ikebukuro_yasuda7,2026-07-12,-154,,2654,,,255,slorepo
ikebukuro_yasuda7,2026-07-13,20,,1597,,,255,slorepo
