hall_id,result_date,avg_diff,avg_games,source_name
fukutoshin_maruhan_ikebukuro_sb,2025-10-01,377,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-02,174,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-03,151,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-04,283,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-05,457,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-06,217,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-07,231,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-08,-153,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-09,-22,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-10,315,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-11,36,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-12,-81,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-13,-9,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-14,78,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-15,-222,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-16,-202,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-17,42,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-18,-186,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-19,-90,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-20,22,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-21,426,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-22,478,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-23,88,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-24,226,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-25,216,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-26,466,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-27,331,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-28,439,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-30,116,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-10-31,203,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-01,372,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-02,190,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-03,-141,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-04,12,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-05,188,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-06,31,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-07,108,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-08,-384,,slorepo
