hall_id,result_date,avg_diff,avg_games,source_name
kamata_maruhan_mega1,2023-12-29,-326,3815,slorepo
kamata_maruhan_mega1,2023-12-30,208,5340,slorepo
kamata_maruhan_mega1,2023-12-31,55,2432,slorepo
kamata_maruhan_mega1,2024-01-01,-324,3520,slorepo
kamata_maruhan_mega1,2024-01-02,-200,3459,slorepo
kamata_maruhan_mega1,2024-01-03,207,5585,slorepo
kamata_maruhan_mega1,2024-03-14,13,2143,slorepo
kamata_maruhan_mega1,2024-03-15,-5,2670,slorepo
kamata_maruhan_mega1,2024-03-16,-32,5366,slorepo
kamata_maruhan_mega1,2024-03-17,232,5599,slorepo
kamata_maruhan_mega1,2024-03-18,-142,2167,slorepo
kamata_maruhan_mega1,2024-03-19,-251,2208,slorepo
kamata_maruhan_mega1,2024-03-20,-196,4010,slorepo
kamata_maruhan_mega1,2024-03-21,-92,2118,slorepo
kamata_maruhan_mega1,2024-03-22,114,4939,slorepo
kamata_maruhan_mega1,2024-03-23,131,5041,slorepo
kamata_maruhan_mega1,2024-03-24,-42,3302,slorepo
kamata_maruhan_mega1,2024-03-25,-30,2520,slorepo
kamata_maruhan_mega1,2024-03-26,-14,1868,slorepo
kamata_maruhan_mega1,2024-03-27,209,5526,slorepo
kamata_maruhan_mega1,2024-03-28,22,1884,slorepo
kamata_maruhan_mega1,2024-03-29,-123,2219,slorepo
kamata_maruhan_mega1,2024-03-30,157,5734,slorepo
kamata_maruhan_mega1,2024-03-31,-18,4208,slorepo
kamata_maruhan_mega1,2024-04-01,379,4195,slorepo
kamata_maruhan_mega1,2024-04-02,-68,2337,slorepo
kamata_maruhan_mega1,2024-04-03,928,6293,slorepo
kamata_maruhan_mega1,2024-04-04,30,4591,slorepo
kamata_maruhan_mega1,2024-04-05,-69,3427,slorepo
kamata_maruhan_mega1,2024-04-06,107,5032,slorepo
kamata_maruhan_mega1,2024-04-07,198,5833,slorepo
kamata_maruhan_mega1,2024-04-08,163,2729,slorepo
kamata_maruhan_mega1,2024-04-09,-21,2475,slorepo
kamata_maruhan_mega1,2024-04-10,73,5039,slorepo
kamata_maruhan_mega1,2024-04-11,334,4532,slorepo
kamata_maruhan_mega1,2024-04-12,75,2230,slorepo
kamata_maruhan_mega1,2024-04-13,517,5688,slorepo
kamata_maruhan_mega1,2024-04-14,-169,2889,slorepo
kamata_maruhan_mega1,2024-04-15,-257,2677,slorepo
kamata_maruhan_mega1,2024-04-16,-58,2109,slorepo
kamata_maruhan_mega1,2024-04-17,59,5376,slorepo
kamata_maruhan_mega1,2024-04-18,14,2201,slorepo
kamata_maruhan_mega1,2024-04-19,-151,2547,slorepo
kamata_maruhan_mega1,2024-04-20,14,5537,slorepo
kamata_maruhan_mega1,2024-04-21,-140,3166,slorepo
kamata_maruhan_mega1,2024-04-22,153,4517,slorepo
kamata_maruhan_mega1,2024-04-23,-136,2386,slorepo
kamata_maruhan_mega1,2024-04-24,-134,1999,slorepo
kamata_maruhan_mega1,2024-04-25,-15,2460,slorepo
kamata_maruhan_mega1,2024-04-26,-44,2110,slorepo
kamata_maruhan_mega1,2024-04-27,-4,5766,slorepo
kamata_maruhan_mega1,2024-04-28,-152,3341,slorepo
kamata_maruhan_mega1,2024-04-29,48,3573,slorepo
kamata_maruhan_mega1,2024-04-30,657,5303,slorepo
kamata_maruhan_mega1,2024-05-01,70,5258,slorepo
kamata_maruhan_mega1,2024-05-02,-144,3496,slorepo
kamata_maruhan_mega1,2024-05-03,197,5985,slorepo
kamata_maruhan_mega1,2024-05-04,130,5034,slorepo
kamata_maruhan_mega1,2024-05-05,75,5659,slorepo
kamata_maruhan_mega1,2024-05-06,-87,4277,slorepo
kamata_maruhan_mega1,2024-05-07,172,5091,slorepo
kamata_maruhan_mega1,2024-05-08,-151,2899,slorepo
kamata_maruhan_mega1,2024-05-09,6,2830,slorepo
kamata_maruhan_mega1,2024-05-10,418,4955,slorepo
kamata_maruhan_mega1,2024-05-11,32,5678,slorepo
kamata_maruhan_mega1,2024-05-12,-273,3561,slorepo
kamata_maruhan_mega1,2024-05-13,45,4346,slorepo
kamata_maruhan_mega1,2024-05-14,-203,2299,slorepo
kamata_maruhan_mega1,2024-05-15,105,2497,slorepo
kamata_maruhan_mega1,2024-05-16,-85,2160,slorepo
kamata_maruhan_mega1,2024-05-17,135,4766,slorepo
kamata_maruhan_mega1,2024-05-18,450,5753,slorepo
kamata_maruhan_mega1,2024-05-19,-61,3537,slorepo
kamata_maruhan_mega1,2024-05-20,-71,2431,slorepo
kamata_maruhan_mega1,2024-05-21,-191,2263,slorepo
kamata_maruhan_mega1,2024-05-22,341,5734,slorepo
kamata_maruhan_mega1,2024-05-23,-108,2034,slorepo
kamata_maruhan_mega1,2024-05-24,-136,2728,slorepo
kamata_maruhan_mega1,2024-05-25,100,5711,slorepo
kamata_maruhan_mega1,2024-05-26,128,3869,slorepo
kamata_maruhan_mega1,2024-05-27,573,5296,slorepo
kamata_maruhan_mega1,2024-05-28,82,2286,slorepo
kamata_maruhan_mega1,2024-05-29,-144,2560,slorepo
kamata_maruhan_mega1,2024-05-30,310,5228,slorepo
kamata_maruhan_mega1,2024-05-31,0,2270,slorepo
kamata_maruhan_mega1,2024-06-01,302,5834,slorepo
kamata_maruhan_mega1,2024-06-02,-93,3390,slorepo
kamata_maruhan_mega1,2024-06-03,138,5115,slorepo
kamata_maruhan_mega1,2024-06-04,-76,2927,slorepo
kamata_maruhan_mega1,2024-06-05,-81,3193,slorepo
kamata_maruhan_mega1,2024-06-06,107,5069,slorepo
kamata_maruhan_mega1,2024-06-07,-240,5287,slorepo
kamata_maruhan_mega1,2024-06-08,388,5353,slorepo
kamata_maruhan_mega1,2024-06-09,216,4332,slorepo
kamata_maruhan_mega1,2024-06-10,355,5014,slorepo
kamata_maruhan_mega1,2024-06-11,87,4597,slorepo
kamata_maruhan_mega1,2024-06-12,-79,2508,slorepo
kamata_maruhan_mega1,2024-06-13,692,4506,slorepo
kamata_maruhan_mega1,2024-06-14,-21,2626,slorepo
kamata_maruhan_mega1,2024-06-15,102,5354,slorepo
kamata_maruhan_mega1,2024-06-16,-102,3596,slorepo
kamata_maruhan_mega1,2024-06-17,155,4845,slorepo
kamata_maruhan_mega1,2024-06-18,36,1971,slorepo
kamata_maruhan_mega1,2024-06-19,-110,2477,slorepo
kamata_maruhan_mega1,2024-06-20,-78,2674,slorepo
kamata_maruhan_mega1,2024-06-21,9,2322,slorepo
kamata_maruhan_mega1,2024-06-22,176,5819,slorepo
kamata_maruhan_mega1,2024-06-23,-281,3564,slorepo
kamata_maruhan_mega1,2024-06-24,-24,2050,slorepo
kamata_maruhan_mega1,2024-06-25,-34,3506,slorepo
kamata_maruhan_mega1,2024-06-26,-203,2521,slorepo
kamata_maruhan_mega1,2024-06-27,199,5174,slorepo
kamata_maruhan_mega1,2024-06-28,-12,2365,slorepo
kamata_maruhan_mega1,2024-06-29,54,5641,slorepo
kamata_maruhan_mega1,2024-06-30,321,5699,slorepo
kamata_maruhan_mega1,2024-07-01,687,5936,slorepo
kamata_maruhan_mega1,2024-07-02,48,2434,slorepo
kamata_maruhan_mega1,2024-07-03,244,5307,slorepo
kamata_maruhan_mega1,2024-07-04,282,3321,slorepo
kamata_maruhan_mega1,2024-07-05,-12,3538,slorepo
kamata_maruhan_mega1,2024-07-06,15,5483,slorepo
kamata_maruhan_mega1,2024-07-07,287,6127,slorepo
kamata_maruhan_mega1,2024-07-08,-74,2839,slorepo
kamata_maruhan_mega1,2024-07-09,6,2699,slorepo
kamata_maruhan_mega1,2024-07-10,340,5148,slorepo
kamata_maruhan_mega1,2024-07-11,227,4608,slorepo
kamata_maruhan_mega1,2024-07-12,-222,2618,slorepo
kamata_maruhan_mega1,2024-07-13,257,5696,slorepo
kamata_maruhan_mega1,2024-07-14,-189,3574,slorepo
kamata_maruhan_mega1,2024-07-15,-100,3678,slorepo
kamata_maruhan_mega1,2024-07-16,-92,2042,slorepo
kamata_maruhan_mega1,2024-07-17,5,4996,slorepo
kamata_maruhan_mega1,2024-07-18,-67,2265,slorepo
kamata_maruhan_mega1,2024-07-19,-223,2200,slorepo
kamata_maruhan_mega1,2024-07-20,-7,5585,slorepo
kamata_maruhan_mega1,2024-07-21,-93,3639,slorepo
kamata_maruhan_mega1,2024-07-22,555,4421,slorepo
kamata_maruhan_mega1,2024-07-23,-93,2832,slorepo
kamata_maruhan_mega1,2024-07-24,-69,2341,slorepo
kamata_maruhan_mega1,2024-07-25,-128,3180,slorepo
kamata_maruhan_mega1,2024-07-26,-12,2250,slorepo
kamata_maruhan_mega1,2024-07-27,205,5468,slorepo
kamata_maruhan_mega1,2024-07-28,244,5373,slorepo
kamata_maruhan_mega1,2024-07-29,-107,2242,slorepo
kamata_maruhan_mega1,2024-10-01,328,5019,slorepo
