hall_id,result_date,event_name,machine_key,machine_name,unit_numbers,unit_count,winning_units,avg_diff,avg_games,rate_scope,source_name,notes
yokohama_123_west,2026-07-07,スロパチガール来店S（選抜箇所）,enen2,スマスロ 炎炎ノ消防隊2,406|407|408|409|425|426|427|428,8,6,4695,9255,46coin_344_selected_blocks_not_full_hall,hall_navi_slopachi_selected_report,好調箇所として媒体が選抜したブロック。全店平均・ランダム標本ではないため、店日予測へ直接入力しない。
yokohama_123_west,2026-07-07,スロパチガール来店S（選抜箇所）,tokyo_ghoul,L東京喰種,343|344|345|346|352|353|354|355|456|457|458|459,12,9,3087,8923,46coin_344_selected_blocks_not_full_hall,hall_navi_slopachi_selected_report,好調箇所として媒体が選抜したブロック。全店平均・ランダム標本ではないため、店日予測へ直接入力しない。
yokohama_123_west,2026-07-07,スロパチガール来店S（選抜箇所）,kabaneri_kaimon,スマスロ 甲鉄城のカバネリ 海門決戦,435|436|437|438|489|490|491|492,8,7,2885,9700,46coin_344_selected_blocks_not_full_hall,hall_navi_slopachi_selected_report,好調箇所として媒体が選抜したブロック。全店平均・ランダム標本ではないため、店日予測へ直接入力しない。
yokohama_123_west,2026-07-07,スロパチガール来店S（選抜箇所）,vvv2,L革命機ヴァルヴレイヴ2,371|372|373|374,4,4,4220,8470,46coin_344_selected_blocks_not_full_hall,hall_navi_slopachi_selected_report,好調箇所として媒体が選抜したブロック。全店平均・ランダム標本ではないため、店日予測へ直接入力しない。
yokohama_123_west,2026-07-07,スロパチガール来店S（選抜箇所）,my_juggler_v,マイジャグラーV,628|629|630|631,4,4,2540,9360,46coin_344_selected_blocks_not_full_hall,hall_navi_slopachi_selected_report,好調箇所として媒体が選抜したブロック。全店平均・ランダム標本ではないため、店日予測へ直接入力しない。
