hall_id,as_of_date,machine_key,machine_name,units,baseline_days,baseline_avg_diff,special_selected_n,momentum_selected_n,composite_score,type_label,source_name,notes
tsurumi_nanbusen_shitte,2026-06-27,ns_4c315d2304,スマスロモンキーターンV,,6,,3,0,50.0,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
tsurumi_nanbusen_shitte,2026-06-27,ns_a7c5192cfe,スマスロ北斗の拳,,6,,2,0,33.333,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
tsurumi_nanbusen_shitte,2026-06-27,ns_49962cdc21,スマスロ バイオハザード5,,6,,2,0,33.333,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
tsurumi_nanbusen_shitte,2026-06-27,ns_c68a041040,スマスロ スーパーブラックジャック,,6,,2,0,33.333,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
tsurumi_nanbusen_shitte,2026-06-27,ns_9af2604a95,Lモンスターハンターライズ,,6,,2,0,33.333,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
tsurumi_nanbusen_shitte,2026-06-27,ns_472850f012,ウルトラミラクルジャグラー,,6,,1,0,16.667,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
tsurumi_nanbusen_shitte,2026-06-27,ns_a460943666,ファンキージャグラー2,,6,,1,0,16.667,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
tsurumi_nanbusen_shitte,2026-06-27,ns_83ca0c93ba,戦国乙女4,,6,,1,0,16.667,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
tsurumi_nanbusen_shitte,2026-06-27,ns_ed528a53ec,かぐや様は告らせたい,,6,,1,0,16.667,27日公開上位機種・監視,minrepo_selected_machine_recurrence,2026年1〜6月の27日公開上位機種への登場回数。結果後抽出かつ設置台数未正規化のため、店日予測・着席推奨には未使用。
