hall_id,result_date,avg_diff,avg_games,source_name
kamata_rakuen,2026-05-10,-19,,slorepo
kamata_rakuen,2026-05-11,155,,slorepo
kamata_rakuen,2026-05-12,-118,,slorepo
kamata_rakuen,2026-05-13,-70,,slorepo
kamata_rakuen,2026-05-14,-30,,slorepo
kamata_rakuen,2026-05-15,103,,slorepo
kamata_rakuen,2026-05-16,175,,slorepo
kamata_rakuen,2026-05-17,169,,slorepo
kamata_rakuen,2026-05-18,-73,,slorepo
kamata_rakuen,2026-05-19,22,,slorepo
kamata_rakuen,2026-05-20,100,,slorepo
kamata_rakuen,2026-05-21,3,,slorepo
kamata_rakuen,2026-05-22,304,,slorepo
kamata_rakuen,2026-05-23,-22,,slorepo
kamata_rakuen,2026-05-24,64,,slorepo
kamata_rakuen,2026-05-25,184,,slorepo
kamata_rakuen,2026-05-26,95,,slorepo
kamata_rakuen,2026-05-27,287,,slorepo
kamata_rakuen,2026-05-28,-31,,slorepo
kamata_rakuen,2026-05-29,209,,slorepo
kamata_rakuen,2026-05-30,93,,slorepo
kamata_rakuen,2026-05-31,-122,,slorepo
kamata_rakuen,2026-06-01,0,,slorepo
kamata_rakuen,2026-06-02,112,,slorepo
kamata_rakuen,2026-06-03,-105,,slorepo
kamata_rakuen,2026-06-04,-3,,slorepo
kamata_rakuen,2026-06-05,40,,slorepo
kamata_rakuen,2026-06-06,-41,,slorepo
kamata_rakuen,2026-06-07,52,,slorepo
kamata_rakuen,2026-06-08,5,,slorepo
kamata_rakuen,2026-06-09,16,,slorepo
kamata_rakuen,2026-06-10,277,,slorepo
kamata_rakuen,2026-06-11,-6,,slorepo
kamata_rakuen,2026-06-12,18,,slorepo
kamata_rakuen,2026-06-13,-26,,slorepo
kamata_rakuen,2026-06-14,45,,slorepo
kamata_rakuen,2026-06-15,-79,,slorepo
kamata_rakuen,2026-06-16,74,,slorepo
kamata_rakuen,2026-06-17,342,,slorepo
kamata_rakuen,2026-06-18,-44,,slorepo
kamata_rakuen,2026-06-19,-92,,slorepo
kamata_rakuen,2026-06-20,-99,,slorepo
kamata_rakuen,2026-06-21,-103,,slorepo
kamata_rakuen,2026-06-22,178,,slorepo
kamata_rakuen,2026-06-23,264,,slorepo
kamata_rakuen,2026-06-24,16,,slorepo
kamata_rakuen,2026-06-25,-98,,slorepo
kamata_rakuen,2026-06-26,-30,,slorepo
kamata_rakuen,2026-06-27,88,,slorepo
kamata_rakuen,2026-06-28,58,,slorepo
kamata_rakuen,2026-06-29,0,,slorepo
kamata_rakuen,2026-06-30,338,,slorepo
kamata_rakuen,2026-07-01,184,,slorepo
kamata_rakuen,2026-07-02,-84,,slorepo
kamata_rakuen,2026-07-03,-9,,slorepo
kamata_rakuen,2026-07-04,-56,,slorepo
kamata_rakuen,2026-07-05,-26,,slorepo
kamata_rakuen,2026-07-07,276,,slorepo
kamata_rakuen,2026-07-08,0,,slorepo
kamata_rakuen,2026-07-09,88,,slorepo
kamata_rakuen,2026-07-10,248,,slorepo
kamata_rakuen,2026-07-11,181,,slorepo
kamata_rakuen,2026-07-12,175,,slorepo
kamata_rakuen,2026-07-13,78,,slorepo
